Company,Domain,ESG Link
Walmart, https://walmart.com, https://corporate.walmart.com/esgreport/
Amazon, www.amazon.com, https://sustainability.aboutamazon.com/
Apple, www.apple.com, https://investor.apple.com/esg/default.aspx
CVS Health, https://www.cvshealth.com, https://www.cvshealth.com/impact/esg-reports.html
UnitedHealth Group, www.unitedhealthgroup.com, https://sustainability.uhg.com/
Exxon Mobil, www.exxonmobil.com, https://investor.exxonmobil.com/esg
Berkshire Hathaway, www.berkshirehathaway.com, https://www.berkshirehathaway.com/sustainability/sustainability.html
Alphabet, https://www.abc.xyz, http://abc.xyz/investor/esg
McKesson, www.mckesson.com, https://www.mckesson.com/About-McKesson/Impact/
AmerisourceBergen, www.amerisourcebergen.com, https://investor.amerisourcebergen.com/governance/esg/default.aspx
Costco Wholesale, www.costco.com, https://www.costco.com/sustainability-governance-reporting.html
Cigna, https://www.cigna.com, https://www.cigna.com/about-us/corporate-responsibility/environmental-policy-statement
AT&T, www.att.com, https://sustainability.att.com/
Microsoft, www.microsoft.com, https://www.microsoft.com/en-us/corporate-responsibility/sustainability
Cardinal Health, www.cardinalhealth.com, https://www.cardinalhealth.com/en/about-us/environmental-social-governance.html
Chevron, www.chevron.com, https://www.chevron.com/sustainability
Home Depot, www.homedepot.com, https://ir.homedepot.com/esg-investors
Walgreens Boots Alliance, www.walgreensbootsalliance.com, https://www.walgreensbootsalliance.com/environmental-social-governance
Marathon Petroleum, www.marathonpetroleum.com, https://www.marathonpetroleum.com/Sustainability/
Elevance Health, www.elevancehealth.com, https://www.elevancehealth.com/who-we-are/corporate-responsibility/environmental-sustainability
Kroger, www.thekrogerco.com ~~ kroger.com, https://www.thekrogerco.com/esgreport/
Ford Motor, www.ford.com, https://shareholder.ford.com/investors/esg/default.aspx
Verizon Communications, www.verizon.com, https://www.verizon.com/about/investors/esg-resources-hub
JPMorgan Chase, www.jpmorganchase.com, https://www.jpmorganchase.com/about/governance/esg
General Motors, www.gm.com, https://investor.gm.com/esg
Centene, www.centene.com, https://investors.centene.com/esg
Meta Platforms, https://www.meta.com/ ~~ https://investor.fb.com, https://investor.fb.com/esg-resources/default.aspx
Comcast, https://www.xfinity.com/ ~~ www.comcastcorporation.com, https://www.cmcsa.com/esg-reporting
Phillips 66, www.phillips66.com, https://www.phillips66.com/sustainability/esg-library/
Valero Energy, www.valero.com, https://investorvalero.com/esg/default.aspx
Dell Technologies, https://www.dell.com ~~ www.delltechnologies.com, https://www.dell.com/en-us/dt/corporate/social-impact.htm
Target, www.target.com, https://corporate.target.com/sustainability-ESG
Fannie Mae, www.fanniemae.com, https://www.fanniemae.com/about-us/esg
United Parcel Service, www.ups.com, https://investors.ups.com/sustainability
Lowe's, www.lowes.com, https://corporate.lowes.com/our-responsibilities/corporate-responsibility-reports-policies
Bank of America, www.bankofamerica.com, https://about.bankofamerica.com/en/making-an-impact/esg-reports
Johnson & Johnson, www.jnj.com, https://www.jnj.com/esg-resources
Archer Daniels Midland, www.adm.com, https://investors.adm.com/sustainability/default.aspx
FedEx, www.fedex.com, https://investors.fedex.com/esg/default.aspx
Humana, www.humana.com, https://www.humana.com/about/impact
